port,description,risk_score,risk_reason
79,Finger,50,Well-known port default risk.  These ports should not be providing services
80,World Wide Web HTTP,20,Risk of application vulnerabilities
82,XFER Utility,50,Well-known port default risk.  These ports should not be providing services
83,MIT ML Device,50,Well-known port default risk.  These ports should not be providing services
84,Common Trace Facility,50,Well-known port default risk.  These ports should not be providing services
85,MIT ML Device,50,Well-known port default risk.  These ports should not be providing services
86,Micro Focus Cobol,50,Well-known port default risk.  These ports should not be providing services
87,any private terminal link,50,Well-known port default risk.  These ports should not be providing services
88,Kerberos,60,Prohibited by policy
89,SU/MIT Telnet Gateway,50,Well-known port default risk.  These ports should not be providing services
90,DNSIX Securit Attribute Token Map,50,Well-known port default risk.  These ports should not be providing services
91,MIT Dover Spooler,50,Well-known port default risk.  These ports should not be providing services
92,Network Printing Protocol,50,Well-known port default risk.  These ports should not be providing services
93,Device Control Protocol,50,Well-known port default risk.  These ports should not be providing services
94,Tivoli Object Dispatcher,50,Well-known port default risk.  These ports should not be providing services
95,SUPDUP,50,Well-known port default risk.  These ports should not be providing services
96,DIXIE Protocol Specification,50,Well-known port default risk.  These ports should not be providing services
97,Swift Remote Virtural File Protocol,50,Well-known port default risk.  These ports should not be providing services
98,TAC News,50,Well-known port default risk.  These ports should not be providing services
99,Metagram Relay,50,Well-known port default risk.  These ports should not be providing services
101,NIC Host Name Server,50,Well-known port default risk.  These ports should not be providing services
102,ISO-TSAP Class 0,50,Well-known port default risk.  These ports should not be providing services
103,Genesis Point-to-Point Trans Net,50,Well-known port default risk.  These ports should not be providing services
104,ACR-NEMA Digital Imag. & Comm. 300,50,Well-known port default risk.  These ports should not be providing services
105,"CCSO, Mailbox name server protocol",50,Well-known port default risk.  These ports should not be providing services
106,3COM-TSMUX,50,Well-known port default risk.  These ports should not be providing services
107,Remote Telnet Service,50,Well-known port default risk.  These ports should not be providing services
108,SNA Gateway Access Server,50,Well-known port default risk.  These ports should not be providing services
109,Post Office Protocol - Version 2,60,Prohibited by policy
110,Post Office Protocol - Version 3,60,Prohibited by policy
111,SUN Remote Procedure Call,50,Well-known port default risk.  These ports should not be providing services
112,McIDAS Data Transmission Protocol,50,Well-known port default risk.  These ports should not be providing services
113,Authentication Service,50,Well-known port default risk.  These ports should not be providing services
115,Simple File Transfer Protocol,50,Well-known port default risk.  These ports should not be providing services
116,ANSA REX Notify,50,Well-known port default risk.  These ports should not be providing services
117,UUCP Path Service,50,Well-known port default risk.  These ports should not be providing services
118,SQL Services,80,High likelihood of compromise
119,Network News Transfer Protocol,60,Prohibited by policy
120,CFDPTKT,50,Well-known port default risk.  These ports should not be providing services
121,Encore Expedited Remote Pro.Call,50,Well-known port default risk.  These ports should not be providing services
122,SMAKYNET,50,Well-known port default risk.  These ports should not be providing services
123,Network Time Protocol,60,Prohibited by policy
124,ANSA REX Trader,50,Well-known port default risk.  These ports should not be providing services
125,Locus PC-Interface Net Map Ser,50,Well-known port default risk.  These ports should not be providing services
126,NXEdit,50,Well-known port default risk.  These ports should not be providing services
127,Locus PC-Interface Conn Server,50,Well-known port default risk.  These ports should not be providing services
128,GSS X License Verification,50,Well-known port default risk.  These ports should not be providing services
129,Password Generator Protocol,50,Well-known port default risk.  These ports should not be providing services
130,cisco FNATIVE,50,Well-known port default risk.  These ports should not be providing services
131,cisco TNATIVE,50,Well-known port default risk.  These ports should not be providing services
132,cisco SYSMAINT,50,Well-known port default risk.  These ports should not be providing services
133,Statistics Service,50,Well-known port default risk.  These ports should not be providing services
134,INGRES-NET Service,50,Well-known port default risk.  These ports should not be providing services
135,Windoes RPC DCE endpoint resolution,80,Vulnerable service
136,PROFILE Naming System,50,Well-known port default risk.  These ports should not be providing services
137,NETBIOS Name Service,100,Critical risk to infrastructure
138,NETBIOS Datagram Service,100,Critical risk to infrastructure
139,NETBIOS Session Service,100,Critical risk to infrastructure
140,EMFIS Data Service,50,Well-known port default risk.  These ports should not be providing services
141,EMFIS Control Service,50,Well-known port default risk.  These ports should not be providing services
142,Britton-Lee IDM,50,Well-known port default risk.  These ports should not be providing services
143,Internet Message Access Protocol,60,Prohibited by policy
144,Universal Management Architecture,50,Well-known port default risk.  These ports should not be providing services
145,UAAC Protocol,50,Well-known port default risk.  These ports should not be providing services
146,ISO-IP0,50,Well-known port default risk.  These ports should not be providing services
147,ISO-IP,50,Well-known port default risk.  These ports should not be providing services
148,Jargon,50,Well-known port default risk.  These ports should not be providing services
149,AED 512 Emulation Service,50,Well-known port default risk.  These ports should not be providing services
150,SQL-NET,50,Well-known port default risk.  These ports should not be providing services
151,HEMS,50,Well-known port default risk.  These ports should not be providing services
152,Background File Transfer Program,50,Well-known port default risk.  These ports should not be providing services
153,SGMP,50,Well-known port default risk.  These ports should not be providing services
154,NETSC,50,Well-known port default risk.  These ports should not be providing services
155,NETSC,50,Well-known port default risk.  These ports should not be providing services
156,SQL Service,50,Well-known port default risk.  These ports should not be providing services
157,KNET/VM Command/Message Protocol,50,Well-known port default risk.  These ports should not be providing services
158,PCMail Server,50,Well-known port default risk.  These ports should not be providing services
159,NSS-Routing,50,Well-known port default risk.  These ports should not be providing services
160,SGMP-TRAPS,50,Well-known port default risk.  These ports should not be providing services
161,SNMP,80,Vulnerable service
162,SNMPTRAP,80,Vulnerable service
163,CMIP/TCP Manager,50,Well-known port default risk.  These ports should not be providing services
164,CMIP/TCP Agent,50,Well-known port default risk.  These ports should not be providing services
165,Xerox,50,Well-known port default risk.  These ports should not be providing services
166,Sirius Systems,50,Well-known port default risk.  These ports should not be providing services
167,NAMP,50,Well-known port default risk.  These ports should not be providing services
168,RSVD,50,Well-known port default risk.  These ports should not be providing services
169,SEND,50,Well-known port default risk.  These ports should not be providing services
170,Network PostScript,50,Well-known port default risk.  These ports should not be providing services
171,Network Innovations Multiplex,50,Well-known port default risk.  These ports should not be providing services
172,Network Innovations CL/1,50,Well-known port default risk.  These ports should not be providing services
173,Xyplex,50,Well-known port default risk.  These ports should not be providing services
174,MAILQ,50,Well-known port default risk.  These ports should not be providing services
175,VMNET,50,Well-known port default risk.  These ports should not be providing services
176,GENRAD-MUX,50,Well-known port default risk.  These ports should not be providing services
177,X Display Manager Control Protocol,50,Well-known port default risk.  These ports should not be providing services
178,NextStep Window Server,50,Well-known port default risk.  These ports should not be providing services
179,Border Gateway Protocol,50,Well-known port default risk.  These ports should not be providing services
180,Intergraph,50,Well-known port default risk.  These ports should not be providing services
181,Unify,50,Well-known port default risk.  These ports should not be providing services
182,Unisys Audit SITP,50,Well-known port default risk.  These ports should not be providing services
183,OCBinder,50,Well-known port default risk.  These ports should not be providing services
184,OCServer,50,Well-known port default risk.  These ports should not be providing services
185,Remote-KIS,50,Well-known port default risk.  These ports should not be providing services
186,KIS Protocol,50,Well-known port default risk.  These ports should not be providing services
187,Application Communication Interface,50,Well-known port default risk.  These ports should not be providing services
188,Plus Five's MUMPS,50,Well-known port default risk.  These ports should not be providing services
189,Queued File Transport,50,Well-known port default risk.  These ports should not be providing services
190,Gateway Access Control Protocol,50,Well-known port default risk.  These ports should not be providing services
191,Prospero Directory Service,50,Well-known port default risk.  These ports should not be providing services
192,OSU Network Monitoring System,50,Well-known port default risk.  These ports should not be providing services
193,Spider Remote Monitoring Protocol,50,Well-known port default risk.  These ports should not be providing services
194,Internet Relay Chat Protocol,50,Well-known port default risk.  These ports should not be providing services
195,DNSIX Network Level Module Audit,50,Well-known port default risk.  These ports should not be providing services
196,DNSIX Session Mgt Module Audit Redir,50,Well-known port default risk.  These ports should not be providing services
197,Directory Location Service,50,Well-known port default risk.  These ports should not be providing services
198,Directory Location Service Monitor,50,Well-known port default risk.  These ports should not be providing services
199,SNMP. SMUX,80,Vulnerable service
200,IBM System Resource Controller,50,Well-known port default risk.  These ports should not be providing services
201,AppleTalk Routing Maintenance,50,Well-known port default risk.  These ports should not be providing services
202,AppleTalk Name Binding,50,Well-known port default risk.  These ports should not be providing services
203,AppleTalk Unused,50,Well-known port default risk.  These ports should not be providing services
204,AppleTalk Echo,50,Well-known port default risk.  These ports should not be providing services
205,AppleTalk Unused,50,Well-known port default risk.  These ports should not be providing services
206,AppleTalk Zone Information,50,Well-known port default risk.  These ports should not be providing services
207,AppleTalk Unused,50,Well-known port default risk.  These ports should not be providing services
208,AppleTalk Unused,50,Well-known port default risk.  These ports should not be providing services
209,The Quick Mail Transfer Protocol,50,Well-known port default risk.  These ports should not be providing services
210,ANSI Z39.50,50,Well-known port default risk.  These ports should not be providing services
211,Texas Instruments 914C/G Terminal,50,Well-known port default risk.  These ports should not be providing services
212,ATEXSSTR,50,Well-known port default risk.  These ports should not be providing services
213,IPX,50,Well-known port default risk.  These ports should not be providing services
214,VM PWSCS,50,Well-known port default risk.  These ports should not be providing services
215,Insignia Solutions,50,Well-known port default risk.  These ports should not be providing services
216,Computer Associates Int'l License Server,50,Well-known port default risk.  These ports should not be providing services
217,dBASE Unix,50,Well-known port default risk.  These ports should not be providing services
218,Netix Message Posting Protocol,50,Well-known port default risk.  These ports should not be providing services
219,Unisys ARPs,50,Well-known port default risk.  These ports should not be providing services
220,Interactive Mail Access Protocol v3,50,Well-known port default risk.  These ports should not be providing services
221,Berkeley rlogind with SPX auth,50,Well-known port default risk.  These ports should not be providing services
222,Berkeley rshd with SPX auth,50,Well-known port default risk.  These ports should not be providing services
223,Certificate Distribution Center,50,Well-known port default risk.  These ports should not be providing services
224,masqdialer,50,Well-known port default risk.  These ports should not be providing services
242,Direct,50,Well-known port default risk.  These ports should not be providing services
243,Survey Measurement,50,Well-known port default risk.  These ports should not be providing services
244,inbusiness,50,Well-known port default risk.  These ports should not be providing services
245,LINK,50,Well-known port default risk.  These ports should not be providing services
246,Display Systems Protocol,50,Well-known port default risk.  These ports should not be providing services
247,SUBNTBCST_TFTP,50,Well-known port default risk.  These ports should not be providing services
248,bhfhs,50,Well-known port default risk.  These ports should not be providing services
256,RAP,50,Well-known port default risk.  These ports should not be providing services
257,Secure Electronic Transaction,50,Well-known port default risk.  These ports should not be providing services
259,Efficient Short Remote Operations,50,Well-known port default risk.  These ports should not be providing services
260,Openport,50,Well-known port default risk.  These ports should not be providing services
261,IIOP Name Service over TLS/SSL,50,Well-known port default risk.  These ports should not be providing services
262,Arcisdms,50,Well-known port default risk.  These ports should not be providing services
263,HDAP,50,Well-known port default risk.  These ports should not be providing services
264,BGMP,50,Well-known port default risk.  These ports should not be providing services
265,X-Bone CTL,50,Well-known port default risk.  These ports should not be providing services
266,SCSI on ST,50,Well-known port default risk.  These ports should not be providing services
267,Tobit David Service Layer,50,Well-known port default risk.  These ports should not be providing services
268,Tobit David Replica,50,Well-known port default risk.  These ports should not be providing services
269,MANET Protocols,50,Well-known port default risk.  These ports should not be providing services
270,Q-mode encapsulation for GIST messages,50,Well-known port default risk.  These ports should not be providing services
271,IETF Network Endpoint Assessment (NEA) Posture Transport Protocol over TLS (PT-TLS),50,Well-known port default risk.  These ports should not be providing services
280,http-mgmt,50,Well-known port default risk.  These ports should not be providing services
281,Personal Link,50,Well-known port default risk.  These ports should not be providing services
282,Cable Port A/X,50,Well-known port default risk.  These ports should not be providing services
283,rescap,50,Well-known port default risk.  These ports should not be providing services
284,corerjd,50,Well-known port default risk.  These ports should not be providing services
286,FXP Communication,50,Well-known port default risk.  These ports should not be providing services
287,K-BLOCK,50,Well-known port default risk.  These ports should not be providing services
308,Novastor Backup,50,Well-known port default risk.  These ports should not be providing services
309,EntrustTime,50,Well-known port default risk.  These ports should not be providing services
310,bhmds,50,Well-known port default risk.  These ports should not be providing services
311,AppleShare IP WebAdmin,50,Well-known port default risk.  These ports should not be providing services
312,VSLMP,50,Well-known port default risk.  These ports should not be providing services
313,Magenta Logic,50,Well-known port default risk.  These ports should not be providing services
314,Opalis Robot,50,Well-known port default risk.  These ports should not be providing services
315,DPSI,50,Well-known port default risk.  These ports should not be providing services
316,decAuth,50,Well-known port default risk.  These ports should not be providing services
317,Zannet,50,Well-known port default risk.  These ports should not be providing services
318,PKIX TimeStamp,50,Well-known port default risk.  These ports should not be providing services
319,PTP Event,50,Well-known port default risk.  These ports should not be providing services
320,PTP General,50,Well-known port default risk.  These ports should not be providing services
321,PIP,50,Well-known port default risk.  These ports should not be providing services
322,RTSPS,50,Well-known port default risk.  These ports should not be providing services
323,Resource PKI to Router Protocol,50,Well-known port default risk.  These ports should not be providing services
324,Resource PKI to Router Protocol over TLS,50,Well-known port default risk.  These ports should not be providing services
333,Texar Security Port,50,Well-known port default risk.  These ports should not be providing services
344,Prospero Data Access Protocol,50,Well-known port default risk.  These ports should not be providing services
345,Perf Analysis Workbench,50,Well-known port default risk.  These ports should not be providing services
346,Zebra server,50,Well-known port default risk.  These ports should not be providing services
347,Fatmen Server,50,Well-known port default risk.  These ports should not be providing services
348,Cabletron Management Protocol,50,Well-known port default risk.  These ports should not be providing services
349,mftp,50,Well-known port default risk.  These ports should not be providing services
350,MATIP Type A,50,Well-known port default risk.  These ports should not be providing services
351,MATIP Type B. bhoetty,50,Well-known port default risk.  These ports should not be providing services
352,"DTAG,bhoedap4",50,Well-known port default risk.  These ports should not be providing services
353,NDSAUTH,50,Well-known port default risk.  These ports should not be providing services
354,bh611,50,Well-known port default risk.  These ports should not be providing services
355,DATEX-ASN,50,Well-known port default risk.  These ports should not be providing services
356,Cloanto Net 1,50,Well-known port default risk.  These ports should not be providing services
357,bhevent,50,Well-known port default risk.  These ports should not be providing services
358,Shrinkwrap,50,Well-known port default risk.  These ports should not be providing services
359,Network Security Risk Management Protocol,50,Well-known port default risk.  These ports should not be providing services
360,scoi2odialog,50,Well-known port default risk.  These ports should not be providing services
361,Semantix,50,Well-known port default risk.  These ports should not be providing services
362,SRS Send,50,Well-known port default risk.  These ports should not be providing services
363,RSVP Tunnel,50,Well-known port default risk.  These ports should not be providing services
364,Aurora CMGR,50,Well-known port default risk.  These ports should not be providing services
365,DTK,50,Well-known port default risk.  These ports should not be providing services
366,ODMR,50,Well-known port default risk.  These ports should not be providing services
367,MortgageWare,50,Well-known port default risk.  These ports should not be providing services
368,QbikGDP,50,Well-known port default risk.  These ports should not be providing services
369,rpc2portmap,50,Well-known port default risk.  These ports should not be providing services
370,codaauth2,50,Well-known port default risk.  These ports should not be providing services
371,Clearcase,50,Well-known port default risk.  These ports should not be providing services
372,ListProcessor,50,Well-known port default risk.  These ports should not be providing services
373,Legent Corporation,50,Well-known port default risk.  These ports should not be providing services
374,Legent Corporation,50,Well-known port default risk.  These ports should not be providing services
375,Hassle,50,Well-known port default risk.  These ports should not be providing services
376,Amiga Envoy Network Inquiry Proto,50,Well-known port default risk.  These ports should not be providing services
377,NEC Corporation,50,Well-known port default risk.  These ports should not be providing services
378,NEC Corporation,50,Well-known port default risk.  These ports should not be providing services
379,TIA/EIA/IS-99 modem client,50,Well-known port default risk.  These ports should not be providing services
380,TIA/EIA/IS-99 modem server,50,Well-known port default risk.  These ports should not be providing services
381,hp performance data collector,50,Well-known port default risk.  These ports should not be providing services
382,hp performance data managed node,50,Well-known port default risk.  These ports should not be providing services
383,hp performance data alarm manager,50,Well-known port default risk.  These ports should not be providing services
384,A Remote Network Server System,50,Well-known port default risk.  These ports should not be providing services
385,IBM Application,50,Well-known port default risk.  These ports should not be providing services
386,ASA Message Router Object Def.,50,Well-known port default risk.  These ports should not be providing services
387,Appletalk Update-Based Routing Pro.,50,Well-known port default risk.  These ports should not be providing services
388,Unidata LDM,50,Well-known port default risk.  These ports should not be providing services
389,Lightweight Directory Access Protocol,60,Prohibited by policy
390,UIS,50,Well-known port default risk.  These ports should not be providing services
391,SynOptics SNMP Relay Port,50,Well-known port default risk.  These ports should not be providing services
392,SynOptics Port Broker Port,50,Well-known port default risk.  These ports should not be providing services
393,Meta5,50,Well-known port default risk.  These ports should not be providing services
394,EMBL Nucleic Data Transfer,50,Well-known port default risk.  These ports should not be providing services
395,NetScout Control Protocol,50,Well-known port default risk.  These ports should not be providing services
396,Novell Netware over IP,50,Well-known port default risk.  These ports should not be providing services
397,Multi Protocol Trans. Net.,50,Well-known port default risk.  These ports should not be providing services
398,Kryptolan,50,Well-known port default risk.  These ports should not be providing services
399,ISO Transport Class 2 Non-Control over TCP,50,Well-known port default risk.  These ports should not be providing services
400,Oracle Secure Backup,50,Well-known port default risk.  These ports should not be providing services
401,Uninterruptible Power Supply,50,Well-known port default risk.  These ports should not be providing services
402,Genie Protocol,50,Well-known port default risk.  These ports should not be providing services
403,decap,50,Well-known port default risk.  These ports should not be providing services
404,nced,50,Well-known port default risk.  These ports should not be providing services
405,ncld,50,Well-known port default risk.  These ports should not be providing services
406,Interactive Mail Support Protocol,50,Well-known port default risk.  These ports should not be providing services
407,Timbuktu,50,Well-known port default risk.  These ports should not be providing services
408,Prospero Resource Manager Sys. Man.,50,Well-known port default risk.  These ports should not be providing services
409,Prospero Resource Manager Node Man.,50,Well-known port default risk.  These ports should not be providing services
410,DECLadebug Remote Debug Protocol,50,Well-known port default risk.  These ports should not be providing services
411,Remote MT Protocol,50,Well-known port default risk.  These ports should not be providing services
412,Trap Convention Port,50,Well-known port default risk.  These ports should not be providing services
413,Storage Management Services Protocol,50,Well-known port default risk.  These ports should not be providing services
414,InfoSeek,50,Well-known port default risk.  These ports should not be providing services
415,BNet,50,Well-known port default risk.  These ports should not be providing services
416,Silverplatter,50,Well-known port default risk.  These ports should not be providing services
417,Onmux,50,Well-known port default risk.  These ports should not be providing services
418,Hyper-G,50,Well-known port default risk.  These ports should not be providing services
419,Ariel 1,50,Well-known port default risk.  These ports should not be providing services
420,SMPTE,50,Well-known port default risk.  These ports should not be providing services
421,Ariel 2,50,Well-known port default risk.  These ports should not be providing services
422,Ariel 3,50,Well-known port default risk.  These ports should not be providing services
423,IBM Operations Planning and Control Start,50,Well-known port default risk.  These ports should not be providing services
424,IBM Operations Planning and Control Track,50,Well-known port default risk.  These ports should not be providing services
425,ICAD,50,Well-known port default risk.  These ports should not be providing services
426,smartsdp,50,Well-known port default risk.  These ports should not be providing services
427,Server Location,50,Well-known port default risk.  These ports should not be providing services
428,OCS_CMU,50,Well-known port default risk.  These ports should not be providing services
429,OCS_AMU,50,Well-known port default risk.  These ports should not be providing services
430,UTMPSD,50,Well-known port default risk.  These ports should not be providing services
431,UTMPCD,50,Well-known port default risk.  These ports should not be providing services
432,IASD,50,Well-known port default risk.  These ports should not be providing services
433,NNTP for transit servers (NNSP),50,Well-known port default risk.  These ports should not be providing services
434,MobileIP-Agent,50,Well-known port default risk.  These ports should not be providing services
435,MobilIP-MN,50,Well-known port default risk.  These ports should not be providing services
436,DNA-CML,50,Well-known port default risk.  These ports should not be providing services
437,comscm,50,Well-known port default risk.  These ports should not be providing services
438,dsfgw,50,Well-known port default risk.  These ports should not be providing services
439,dasp,50,Well-known port default risk.  These ports should not be providing services
440,sgcp,50,Well-known port default risk.  These ports should not be providing services
441,decvms-sysmgt,50,Well-known port default risk.  These ports should not be providing services
442,cvc_hostd,50,Well-known port default risk.  These ports should not be providing services
443,http protocol over TLS/SSL,20,"Commonly used, commonly exploited"
444,Simple Network Paging Protocol,50,Well-known port default risk.  These ports should not be providing services
445,"Microsoft-DS, SMB over TLS",100,Vulnerable service
446,DDM-Remote Relational Database Access,50,Well-known port default risk.  These ports should not be providing services
447,DDM-Distributed File Management,50,Well-known port default risk.  These ports should not be providing services
448,DDM-Remote DB Access Using Secure Sockets,50,Well-known port default risk.  These ports should not be providing services
449,AS Server Mapper,50,Well-known port default risk.  These ports should not be providing services
450,Computer Supported Telecomunication Applications,50,Well-known port default risk.  These ports should not be providing services
451,Cray Network Semaphore server,50,Well-known port default risk.  These ports should not be providing services
452,Cray SFS config server,50,Well-known port default risk.  These ports should not be providing services
453,CreativeServer,50,Well-known port default risk.  These ports should not be providing services
454,ContentServer,50,Well-known port default risk.  These ports should not be providing services
455,CreativePartnr,50,Well-known port default risk.  These ports should not be providing services
456,macon-tcp,50,Well-known port default risk.  These ports should not be providing services
457,scohelp,50,Well-known port default risk.  These ports should not be providing services
458,apple quick time,50,Well-known port default risk.  These ports should not be providing services
459,ampr-rcmd,50,Well-known port default risk.  These ports should not be providing services
460,skronk,50,Well-known port default risk.  These ports should not be providing services
461,DataRampSrv,50,Well-known port default risk.  These ports should not be providing services
462,DataRampSrvSec,50,Well-known port default risk.  These ports should not be providing services
463,alpes,50,Well-known port default risk.  These ports should not be providing services
464,kpasswd,50,Well-known port default risk.  These ports should not be providing services
465,SMTP over TLS. URL Rendezvous Directory for SSM,60,Prohibited by policy
466,digital-vrc,50,Well-known port default risk.  These ports should not be providing services
467,mylex-mapd,50,Well-known port default risk.  These ports should not be providing services
468,proturis,50,Well-known port default risk.  These ports should not be providing services
469,Radio Control Protocol,50,Well-known port default risk.  These ports should not be providing services
470,scx-proxy,50,Well-known port default risk.  These ports should not be providing services
471,Mondex,50,Well-known port default risk.  These ports should not be providing services
472,ljk-login,50,Well-known port default risk.  These ports should not be providing services
473,hybrid-pop,50,Well-known port default risk.  These ports should not be providing services
474,"tn-tl-w1,tn-tl-w2",50,Well-known port default risk.  These ports should not be providing services
475,tcpnethaspsrv,50,Well-known port default risk.  These ports should not be providing services
476,tn-tl-fd1,50,Well-known port default risk.  These ports should not be providing services
477,ss7ns,50,Well-known port default risk.  These ports should not be providing services
478,spsc,50,Well-known port default risk.  These ports should not be providing services
479,iafserver,50,Well-known port default risk.  These ports should not be providing services
480,iafdbase,50,Well-known port default risk.  These ports should not be providing services
481,Ph service,50,Well-known port default risk.  These ports should not be providing services
482,bgs-nsi,50,Well-known port default risk.  These ports should not be providing services
483,ulpnet,50,Well-known port default risk.  These ports should not be providing services
484,Integra Software Management Environment,50,Well-known port default risk.  These ports should not be providing services
485,Air Soft Power Burst,50,Well-known port default risk.  These ports should not be providing services
486,avian,50,Well-known port default risk.  These ports should not be providing services
487,saft Simple Asynchronous File Transfer,50,Well-known port default risk.  These ports should not be providing services
488,gss-http,50,Well-known port default risk.  These ports should not be providing services
489,nest-protocol,50,Well-known port default risk.  These ports should not be providing services
490,micom-pfs,50,Well-known port default risk.  These ports should not be providing services
491,go-login,50,Well-known port default risk.  These ports should not be providing services
492,Transport Independent Convergence for FNA,50,Well-known port default risk.  These ports should not be providing services
493,Transport Independent Convergence for FNA,50,Well-known port default risk.  These ports should not be providing services
494,POV-Ray,50,Well-known port default risk.  These ports should not be providing services
495,intecourier,50,Well-known port default risk.  These ports should not be providing services
496,PIM-RP-DISC,50,Well-known port default risk.  These ports should not be providing services
497,Retrospect backup and restore service,50,Well-known port default risk.  These ports should not be providing services
498,siam,50,Well-known port default risk.  These ports should not be providing services
499,ISO ILL Protocol,50,Well-known port default risk.  These ports should not be providing services
500,isakmp,50,Well-known port default risk.  These ports should not be providing services
501,STMF,50,Well-known port default risk.  These ports should not be providing services
502,Modbus Application Protocol,50,Well-known port default risk.  These ports should not be providing services
503,Intrinsa,50,Well-known port default risk.  These ports should not be providing services
504,citadel,50,Well-known port default risk.  These ports should not be providing services
505,mailbox-lm,50,Well-known port default risk.  These ports should not be providing services
506,ohimsrv,50,Well-known port default risk.  These ports should not be providing services
507,crs,50,Well-known port default risk.  These ports should not be providing services
508,xvttp,50,Well-known port default risk.  These ports should not be providing services
509,snare,50,Well-known port default risk.  These ports should not be providing services
510,FirstClass Protocol,50,Well-known port default risk.  These ports should not be providing services
511,PassGo,50,Well-known port default risk.  These ports should not be providing services
512,remote process execution; authentication performed using passwords and UNIX login names,50,Well-known port default risk.  These ports should not be providing services
513,"remote login a la telnet; automatic authentication performed based on priviledged port numbers and distributed data bases which identify ""authentication domains""",50,Well-known port default risk.  These ports should not be providing services
514,"Remote Shell rsh. cmd like exec, but automatic authentication is performed as for login server",60,Prohibited by policy
515,spooler,50,Well-known port default risk.  These ports should not be providing services
516,videotex,50,Well-known port default risk.  These ports should not be providing services
517,"like tenex link, but across machine - unfortunately, doesn't use link protocol (this is actually just a rendezvous port from which a tcp connection is established)",50,Well-known port default risk.  These ports should not be providing services
519,unixtime,50,Well-known port default risk.  These ports should not be providing services
